Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pu4XDX_54670067_uff_E=210.38,-5.2,0,0
pu4XDX_8468_uff_E=85.03,-5.6,3.9,2.268
pu4XDX_8468_uff_E=85.03,-5.3,3.651,2.158
pu4XDX_8468_uff_E=85.03,-5.3,2.992,1.466
pu4XDX_8468_uff_E=85.03,-5.2,4.429,2.234
pu4XDX_8468_uff_E=85.03,-5.2,5.938,3.099
pu4XDX_8468_uff_E=85.03,-5.1,2.508,1.72
pu4XDX_8468_uff_E=85.03,-4.9,17.236,16.539
pu4XDX_8468_uff_E=85.03,-4.8,17.406,16.768
pu4XDX_10742_uff_E=837.74,-5.6,0,0
pu4XDX_10742_uff_E=837.74,-5.6,3.301,0.881
pu4XDX_10742_uff_E=837.74,-5.1,5.837,3.145
pu4XDX_10742_uff_E=837.74,-4.8,17.871,16.956
pu4XDX_10742_uff_E=837.74,-4.8,17.741,17.011
pu4XDX_10742_uff_E=837.74,-4.8,17.774,17.06
pu4XDX_10742_uff_E=837.74,-4.7,20.108,19.079
pu4XDX_10742_uff_E=837.74,-4.7,11.439,9.656
pu4XDX_10742_uff_E=837.74,-4.7,19.923,19.069
pu4XDX_8468_uff_E=85.03,-5.7,0,0
pu4XDX_5280443_uff_E=190.36,-7.1,17.778,15.588
pu4XDX_5280443_uff_E=190.36,-7.1,16.311,15.51
pu4XDX_5280443_uff_E=190.36,-7,16.651,15.126
pu4XDX_5280443_uff_E=190.36,-6.9,19.305,17.716
pu4XDX_5280443_uff_E=190.36,-6.9,17.291,15.734
pu4XDX_5280443_uff_E=190.36,-6.8,3.028,1.271
pu4XDX_5280443_uff_E=190.36,-6.8,17.688,15.827
pu4XDX_5280443_uff_E=190.36,-6.8,7.633,4.769
pu4XDX_5281702_uff_E=235.77,-7.1,0,0
pu4XDX_5281702_uff_E=235.77,-7.1,2.693,0.08
pu4XDX_5281702_uff_E=235.77,-6.9,7.066,1.247
pu4XDX_5281702_uff_E=235.77,-6.9,7.519,1.251
pu4XDX_5281702_uff_E=235.77,-6.9,5.366,2.96
pu4XDX_5281702_uff_E=235.77,-6.9,8.28,2.452
pu4XDX_5281702_uff_E=235.77,-6.9,4.592,2.9
pu4XDX_5281702_uff_E=235.77,-6.8,9.389,3.783
pu4XDX_5281702_uff_E=235.77,-6.8,8.033,2.431
pu4XDX_5280443_uff_E=190.36,-7.5,0,0
pu4XDX_54670067_uff_E=210.38,-5.1,18.209,16.834
pu4XDX_54670067_uff_E=210.38,-5.1,4.033,1.482
pu4XDX_54670067_uff_E=210.38,-5,4.071,1.208
pu4XDX_54670067_uff_E=210.38,-4.9,2.109,1.646
pu4XDX_54670067_uff_E=210.38,-4.8,3.684,2.115
pu4XDX_54670067_uff_E=210.38,-4.8,13.343,11.629
pu4XDX_54670067_uff_E=210.38,-4.7,13.495,11.322
pu4XDX_54670067_uff_E=210.38,-4.7,17.464,15.795
