Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pu6ESM_5280443_uff_E=190.05,-10.3,0,0
pu6ESM_8468_uff_E=85.03,-6.6,1.559,1.327
pu6ESM_8468_uff_E=85.03,-5.9,4.686,2.827
pu6ESM_8468_uff_E=85.03,-5.6,4.03,2.809
pu6ESM_8468_uff_E=85.03,-5.5,5.475,2.615
pu6ESM_8468_uff_E=85.03,-5.4,5.703,3.875
pu6ESM_8468_uff_E=85.03,-5.3,16.843,14.596
pu6ESM_8468_uff_E=85.03,-5.3,15.282,13.506
pu6ESM_8468_uff_E=85.03,-5.3,14.807,12.926
pu6ESM_5281702_uff_E=235.77,-8.7,0,0
pu6ESM_10742_uff_E=837.74,-5.8,3.458,0.159
pu6ESM_10742_uff_E=837.74,-5.6,8.537,5.284
pu6ESM_10742_uff_E=837.74,-5.6,4.049,1.899
pu6ESM_10742_uff_E=837.74,-5.6,4.122,1.626
pu6ESM_10742_uff_E=837.74,-5.5,3.851,1.675
pu6ESM_10742_uff_E=837.74,-5.5,3.913,1.783
pu6ESM_10742_uff_E=837.74,-5.4,17.494,15.322
pu6ESM_10742_uff_E=837.74,-5.3,17.837,15.318
pu6ESM_8468_uff_E=85.03,-6.8,0,0
pu6ESM_5280443_uff_E=190.05,-10,7.44,1.999
pu6ESM_5280443_uff_E=190.05,-8.9,3.166,2.093
pu6ESM_5280443_uff_E=190.05,-8.7,2.249,1.754
pu6ESM_5280443_uff_E=190.05,-8.2,6.265,2.603
pu6ESM_5280443_uff_E=190.05,-8,5.316,3.662
pu6ESM_5280443_uff_E=190.05,-7.6,3.542,2.228
pu6ESM_5280443_uff_E=190.05,-7.3,7.699,4.043
pu6ESM_54670067_uff_E=210.38,-6.7,0,0
pu6ESM_5281702_uff_E=235.77,-7.8,6.737,3.267
pu6ESM_5281702_uff_E=235.77,-7.8,6.276,3.213
pu6ESM_5281702_uff_E=235.77,-7.4,6.773,3.539
pu6ESM_5281702_uff_E=235.77,-7.3,7.082,3.584
pu6ESM_5281702_uff_E=235.77,-7.3,8.579,3.395
pu6ESM_5281702_uff_E=235.77,-7.2,9.356,3.617
pu6ESM_5281702_uff_E=235.77,-7.2,8.863,3.449
pu6ESM_5281702_uff_E=235.77,-7,9.638,3.839
pu6ESM_10742_uff_E=837.74,-5.8,0,0
pu6ESM_54670067_uff_E=210.38,-6.2,5.513,3.804
pu6ESM_54670067_uff_E=210.38,-6.1,3.748,1.134
pu6ESM_54670067_uff_E=210.38,-6.1,8.212,5.037
pu6ESM_54670067_uff_E=210.38,-6,8.053,5.294
pu6ESM_54670067_uff_E=210.38,-5.9,8.402,5.42
pu6ESM_54670067_uff_E=210.38,-5.8,2.743,1.17
pu6ESM_54670067_uff_E=210.38,-5.8,8.065,5.749
pu6ESM_54670067_uff_E=210.38,-5.6,7.423,5.205
